date,APOLLO HOSPITALS ENTERPRISE LTD.,ASIAN PAINTS LTD.,BAJAJ FINANCE LTD.,BHARAT PETROLEUM CORPN. LTD.,BHARTI AIRTEL LTD.,BRITANNIA INDUSTRIES LTD.,CIPLA LTD.,COAL INDIA LTD.,DIVI'S LABORATORIES LTD.,DR. REDDY'S LABORATORIES LTD.,EICHER MOTORS LTD.,GRASIM INDUSTRIES LTD.,ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,H C L TECHNOLOGIES LTD.,H D F C BANK LTD.,H D F C LIFE INSURANCE CO. LTD.,HERO MOTOCORP LTD.,HINDALCO INDUSTRIES LTD.,HINDUSTAN UNILEVER LTD.,HOUSING DEVELOPMENT FINANCE CORPN. LTD.,I C I C I BANK LTD.,I T C LTD.,INDUSIND BANK LTD.,INFOSYS LTD.,J S W STEEL LTD.,KOTAK MAHINDRA BANK LTD.,ULTRATECH CEMENT LTD.,LARSEN & TOUBRO LTD.,MAHINDRA & MAHINDRA LTD.,TECH MAHINDRA LTD.,MARUTI SUZUKI INDIA LTD.,N T P C LTD.,NESTLE INDIA LTD.,OIL & NATURAL GAS CORPN. LTD.,TATA CONSULTANCY SERVICES LTD.,POWER GRID CORPN. OF INDIA LTD.,RELIANCE INDUSTRIES LTD.,S B I LIFE INSURANCE CO. LTD.,U P L LTD.,SHREE CEMENT LTD.,STATE BANK OF INDIA,SUN PHARMACEUTICAL INDS. LTD.,TATA MOTORS LTD.,TATA STEEL LTD.,TATA CONSUMER PRODUCTS LTD.,TITAN COMPANY LTD.,AXIS BANK LTD.,WIPRO LTD.,BAJAJ AUTO LTD.,BAJAJ FINSERV LTD.
11-04-2019,-0.004694082,0.009433628,0.01650908,0.01104123,0.018676471,-0.004309179,-0.00292799,0.003749219,-0.002409219,0.016907776,0.001163359,0.001711318,-0.010431608,-0.008965141,0.00900619,0.045219467,0.002582485,-0.001889466,0.009591831,-0.003178514,-0.010527651,0.005768578,-0.003891385,-0.013285506,-0.005371686,-0.004963331,0.00220283,0.004702709,0.003729952,-0.011768428,0.000208729,0.010029718,-0.004425659,0.003797468,-0.010170322,-0.013591744,0.011566772,0.005793836,-0.003671905,-0.001318976,0.012865873,-0.013560759,0.0099514,-0.015980896,0.027777778,0.004408289,-0.011237432,0.001067616,0.017261885,0.018785446
10-04-2019,-0.010559327,-0.024223968,-0.003440024,0.004069604,-0.032992036,-0.001383779,0.027161654,0.006921141,0.00390477,0.004249446,0.001272252,0.001536643,0.007223536,-0.017394804,-0.021816592,-0.012311722,-0.011148591,-0.025097859,0.008122583,-0.019283281,-0.007427924,-0.005399933,-0.011119914,-0.010386537,-0.01028983,0.006299154,-0.007722425,-0.002654159,0.003593621,0.000949968,-0.004184825,-0.009565857,0.002029648,0.002856236,-0.024503945,0.001512478,-0.002285586,0.005095438,-0.019795692,0.002065652,-0.01223193,0.002123368,0.049295775,-0.015640539,-0.006896552,0.00150198,-0.00334032,0.026296567,0.006188457,0.005976258
09-04-2019,0.01814728,-0.034417082,-0.005092424,0.015099715,-0.009437949,-0.002894161,0.012561858,0.023395578,0.018641099,-0.003763071,0.016225473,0.006603605,0.002105817,0.019884161,-0.000939111,-0.00947068,0.014225796,0.012590347,0.009369932,0.006934644,0.025962284,0.012126388,0.009194746,-0.008667318,0.003960055,-0.001340034,-0.000875961,0.001128381,0.001274363,0.002985454,0.012216931,0.002582073,-0.005580337,-0.003478811,0.010020524,0,0.00391198,-0.002581478,-0.002270807,0.006770108,0.006234015,0.018380365,0.026676639,0.007285311,-0.006849315,-0.005296994,0.011661808,0.0383011,0.025040742,0.004348566
08-04-2019,-0.006345382,-0.011951534,-0.028931989,-0.019826864,-0.004766578,-0.007531604,-0.012591618,-0.007456327,-0.020098895,0.00339463,-0.017523582,-0.010012368,-0.018726592,0.003248536,-0.007026371,-0.002071466,-0.012049343,-0.004410399,0.003495871,-0.00208819,-0.008833696,-0.006111017,-0.009587375,0.01047017,-0.013084112,0.005464276,-0.005619989,-0.000109186,0.013369796,0.012737215,0.003060062,0.005563798,-0.01185256,0.00990099,0.010960309,0.010443199,-0.018206662,0.012579644,0.006163656,-0.013312788,-0.013404826,-0.001511389,-0.022422618,-0.000455125,0.001893043,-0.001807664,-0.009971136,0.00610454,-0.002900425,-0.006833113
05-04-2019,-0.008955224,-0.002995392,0.024593265,0.010725374,-0.000420404,-0.015697942,0.021305182,-0.000425894,0.010552306,-0.006134195,0.023951234,0.016828363,0.018279853,-0.004781203,0.009479192,0.020882897,-0.007128773,0.023521026,-0.004470313,0.008398423,0.004630225,-0.000848033,0.01831639,0.01524268,0.022411397,0.009864691,0.02707141,0.003726164,0.00742328,0.003550678,-0.000759163,-0.006266126,0.001724162,0.008373591,0.016778357,-0.015299724,0.00062821,0.02925845,0.010198604,0.010957685,-0.014760721,-0.005262027,-0.004850837,0.035145576,-0.000236574,0.000271223,6.56039E-05,0.011773789,0.000891889,0.010828648
04-04-2019,-0.002778329,0.01428953,-0.002150361,-0.024504405,0.019428571,0.017290392,0.001056778,0.002990175,0.01506743,0.002224071,0.014198597,0.003847541,-0.004712042,-0.020123148,-0.003838186,-0.016508514,0.021992288,-0.025468859,-0.002543692,0.014380806,-0.008543739,-0.004558501,-0.021115246,-0.007168459,-0.007243877,-0.008469495,0.019579668,-0.00678495,-0.007745463,-0.004114697,0.005683666,0.006305638,-0.003807793,-0.001286587,-0.031164334,-0.00796218,-0.016106748,-0.01204419,0.007844198,0.014312357,0.004056162,0.007792208,0.023839086,-0.008964422,0.014398848,0.005088596,0.000853578,-0.009936939,0.004144277,-0.011213867
03-04-2019,0.003544969,-0.014282893,-0.003011259,-0.045466491,-0.018095105,-0.001369314,-0.004209318,-0.009729272,-0.013684118,-0.011987494,-0.018500255,-0.016496186,0.006057414,0.01632505,-0.000915092,0.011571335,0.004085683,-0.004609357,-0.009690899,0.0085924,-0.012715599,-0.005874455,-0.000535347,-0.008032657,0.009752699,-0.003919519,-0.006060606,-0.022486256,-0.015180975,-0.018613162,0.026590418,-0.002589715,0.020112545,-0.013015873,0,0.005755756,-0.010433907,0.001330783,-0.003074102,0.005778566,-0.025835866,-0.016393443,-0.007883715,0.00904551,-0.016753185,-0.010252721,-0.007688298,0,-0.002032877,0.016752294
02-04-2019,-0.011185506,0.017785965,0.017908011,-0.029089053,0.045921362,-0.018246799,-0.00570722,0,-0.014071839,0.001413339,0.026690409,-0.013646702,-0.008745595,-0.007337385,-0.007331949,-0.009378664,0.004475278,0.004863363,-0.001686391,0.018523716,-0.002762084,0.002186712,0.018071771,0.00569461,-0.017789942,3.73301E-05,-0.006784261,-0.001734882,0.011650779,0.008847868,0.00716301,0.000370096,-0.011758886,0.001589825,0.023453843,0.021733572,-0.001544707,0.004931461,-0.007706304,-0.015819224,0.019364833,-0.01910828,0.083266613,-0.008408857,0.018260452,-0.007542286,0.002351097,0,-0.021453192,0.016874336
01-04-2019,0.034131639,3.34963E-05,-0.007785124,-0.014212049,0.023116181,-0.011554043,-0.006144829,-0.003372681,0.011860725,0.005233342,-0.024299557,-0.000699341,0.012957821,0.021426272,-0.003061797,0.014134742,0.002095451,0.050608273,-0.009842981,-0.004369364,-0.005617978,0,-0.020758427,0.015124017,-0.00255929,0.003671787,0.01379319,0.019418177,-0.019290696,0.012372728,0.025200261,0.002969562,-0.00417847,-0.015649452,0.014987635,-0.011874684,0.020979277,0.025368529,-0.025603588,0.006915707,0.006235386,0,0.07517934,0.027159309,0.020348125,-0.018829093,-0.014988742,0.02688383,0.001562983,0.017301284
29-03-2019,0.037744621,-0.002872411,0.009730127,0.030322664,0.009546901,-0.003568488,0.006278539,0.004659043,0.029343326,0.023204034,-0.016809417,0.033487924,-0.008261212,0.004201681,0.006991489,0.018705423,0.010848263,0.015567087,0.013599382,0.012239965,-0.000124828,-0.009166667,-0.022568777,0.008200054,0.016652212,-0.00466157,0.022870592,-0.001009591,0.027364891,0.005442529,0.011567178,-0.007734807,-0.010128148,0.024695318,0.000674899,-0.001765448,0.002389706,-0.053229471,0.032075776,0.021829508,0.005485893,0.00715112,0.021694518,0.029034169,0.025131943,0.006700463,-0.004419111,0.000196271,-0.012784862,0.012153814
28-03-2019,0.025308776,0.016949153,0.017180205,0.018208207,0.023100775,-0.000113016,0.000190295,0.007037748,-0.006813134,-0.017305293,-0.003582982,0.001870625,0.040950041,0.038105737,0.00145687,-0.000403551,-0.006861434,-0.025523718,0.00184436,0.012787124,0.018692777,0.023541453,0.009339061,0.011100452,0.002608696,0.005927149,0.001793975,0.014819423,-0.006211651,0.008824106,0.012005216,-0.009124088,0.016626882,-0.026233604,0.016464251,-0.00974026,0.007967389,-0.004040731,0.030103116,0.021427853,0.033031088,0.022803055,0.004121283,-0.018417991,0.011953204,0.015897895,0.028183854,0.0007857,-0.010503003,-0.003982608
27-03-2019,0.001606042,-0.008753914,0.003714622,-0.012893983,-0.016168395,-0.000726006,-0.007179293,-0.008458448,-0.024563047,-0.006217766,-0.019074455,-0.009680889,-0.006239826,0.008264063,-0.005148506,0.005817887,-0.012138515,-0.004076739,-0.001781684,-0.013564199,-0.002283684,-0.001022495,0.052255562,0.002679492,0.021858895,-0.007520757,-0.006024557,-0.004625583,-0.014262246,-0.007525138,-0.010279849,-0.026988636,0.018715102,0.000312402,-0.007439538,-0.01306384,-0.013165112,0.014927822,-0.001549873,-0.013273604,0.017462932,-0.010536398,-0.018775274,-0.006835467,0.002805407,0.000672194,0.002905825,-0.001764706,0.009245462,-0.001073291
26-03-2019,0.004228238,0.018867277,0.029668749,0.000521241,0.002446483,0.002717787,0.00465028,-0.003161889,0.00123113,0.000503425,0.010904741,0.026122149,0.02006365,0.016656021,0.013172314,0.028670842,-0.000485305,0.014845461,0.00594438,0.000334079,0.027640156,-0.005592272,0.01847287,-0.010200612,0.009146341,0.026210217,0.014091784,-0.002869076,0.007523322,-0.023872847,0.009674056,0.040265977,0.015539071,0.008824456,-0.00080635,0.004207921,0.032315301,-0.002372965,-0.010299113,0.016521232,0.032312925,0.011083611,0.010507881,0.008152965,-0.003051106,0.014225979,0.015287649,-0.005847953,-0.001741071,0.010206368
25-03-2019,-0.003085347,-0.00931181,0.00463575,0.012534635,-0.01372342,-0.002533402,9.49127E-05,0.022634188,0.025305804,0.010776724,-0.013778247,-0.005731008,0.001663202,-0.007025418,0.002262593,-0.010466878,-0.010601928,-0.017455763,-0.002502905,-0.018117131,-0.021184278,-0.01056338,-0.008860238,-0.010563854,-0.02432196,-0.020654818,-0.014937337,-0.012870151,-0.020919269,0.001077655,-0.004593526,0.005198663,-0.006825053,0.04135215,-0.010669858,0.017632242,-0.012893609,-0.007229894,-0.023798064,-0.015821064,-0.013588324,-0.018172213,-0.023375143,-0.00626929,0.004597701,-0.002222121,-0.014992405,-0.015544041,0.002779897,-0.006149381
22-03-2019,-0.013207547,0.010369811,-0.011137837,-0.026210973,-0.007335329,0.003400149,-0.01209564,-0.021308017,-0.006983615,-0.000127196,0.005101228,0.002996392,0.000415973,-0.012621032,-0.009939104,-0.002472867,-0.002242109,0.009413469,-0.005629463,-0.003018792,-0.002799695,-0.00234192,-0.008637796,0.005616077,0.012221041,-0.01135691,0.001899396,0.017360858,0.000294724,-0.001392669,-0.018108803,0.041779497,0.006695061,0.003292723,-0.004664897,0.005572442,-0.024501072,0.00432406,-0.000481078,0.004476784,-0.018926926,-0.003159558,-0.02663707,0.009345794,-0.011862696,0.000181431,0.001720146,-0.003823361,3.39023E-05,0.000941972
20-03-2019,0.022896745,0.001547562,-0.01790544,-0.045733203,-0.008166295,-0.011934472,-0.000749555,-0.024289831,-0.012175708,0.015856315,-0.019352822,-0.00565487,-0.014080656,0.001688863,0.013780179,-0.000549224,-0.001874486,0.023721275,-0.007119113,0.010010926,-0.013805221,-0.001836701,-0.006839787,0.023122188,-0.021490468,0.002856613,-0.014002011,0.009536434,-0.015665796,-0.006040395,-0.022219129,-0.041882876,-0.016517232,-0.032802548,-0.003831323,-0.008040201,-0.000799099,0.001552541,0.004402448,-0.000775559,0.002474839,0.012368056,-0.014492754,-0.026350711,-0.025577964,-0.006041206,-0.006768301,0.015925422,-0.008421017,-0.003175331
19-03-2019,0.018086009,0.005741561,-0.002952672,0.005548021,0.018602541,0.000656347,-0.001590271,-0.005323505,0.003936425,0.014703403,-0.022124451,0.004581272,-0.008807588,0.023913043,0.002785823,-0.008980814,-0.02077168,0.014031571,0.001237077,0.002777212,0.000879287,0.019404255,0.003548368,0.016967052,-0.021868113,0.00305139,0.001964637,-0.01519327,0.005836008,0.007671823,-0.012143405,-0.15023622,0.023946598,0.015195603,0,0.009895965,0.019628903,0.001800917,0.004530256,0.014776276,0.013714668,0.007086868,0.003292181,0.004379284,0.015230961,0.007037138,0.012373603,-0.000582298,-0.010132606,-0.004445681
18-03-2019,-0.004003025,0.00910963,0.024049637,0.023340903,-0.021024578,0.018522444,0.003567405,-0.000613874,-0.010919204,0.003967806,-0.015962516,-0.013616919,0.005175701,-0.016807539,0.003750555,-0.007160227,-0.024252061,0.002511932,-0.000500471,-0.006203631,0.006956742,0.010144429,0.009305739,-0.011620625,0.022534235,0.013960684,0.013814765,-0.012602936,-0.013245033,-0.013386713,-0.024689441,0.004428978,0.016200352,-0.008653846,-0.008407069,0.019663648,0.021488291,-0.006910007,0.003952569,0.015293339,0.001843164,0.002799612,0.0125,0.018915511,-0.014517717,0.003691046,0.022445926,-0.022205352,-0.006167736,0.011381433
15-03-2019,-0.006890764,-0.001533368,0.018749332,0.01537279,-0.013726636,-0.026306598,-0.000281558,0.004728618,0.007966952,0.004154235,-0.000333777,-0.003661904,0.003005464,0.022398808,0.012698056,0.00954719,-0.005760076,-0.008468244,-0.022391067,0.009044687,0.019077082,-0.015905245,0.012212516,0.014399661,0.005402579,0.044288585,-0.012121136,0.01213988,0.012684065,0.013761177,-0.00032457,0.028636512,-0.041846303,0.032770606,0.026441582,0.030117271,-0.014833588,0.000243942,0.021798064,-0.010143925,0.0222679,-0.003861418,0.002506266,-0.004249976,-0.014548982,0.010033599,-0.007426411,0.025695931,0.002303727,-0.000598664
